player_id,bb,avg,slg,ops,cs,sb,hr,rbi,lob,xbh,obp,h,r,ab,so,babip
605113,52,0.254,0.437,0.753,2,8,19,82,239,58,0.316,141,79,556,113,0.28
594777,70,0.232,0.467,0.792,1,4,33,74,245,63,0.325,128,92,552,162,0.265
500871,50,0.269,0.511,0.831,1,5,35,118,265,74,0.32,171,94,636,130,0.283
608348,48,0.245,0.478,0.826,0,0,18,47,141,37,0.348,77,46,314,79,0.271
641796,14,0.25,0.34,0.697,0,17,1,17,92,15,0.357,53,38,212,44,0.31
606466,53,0.329,0.592,0.981,2,10,32,92,192,77,0.389,187,97,569,86,0.342
444482,35,0.275,0.461,0.804,0,0,12,57,151,44,0.343,105,48,382,87,0.327
668942,18,0.217,0.312,0.624,2,4,2,16,67,9,0.312,30,17,138,41,0.295
642165,29,0.237,0.408,0.735,3,9,8,23,108,22,0.327,54,33,228,56,0.279
519390,20,0.263,0.49,0.804,1,3,10,40,119,36,0.314,67,30,255,66,0.311
572233,67,0.259,0.476,0.825,1,8,29,73,241,56,0.348,137,86,529,155,0.312
660670,76,0.28,0.518,0.883,9,37,41,101,196,65,0.365,175,127,626,188,0.337
645277,54,0.295,0.5,0.852,4,15,24,86,209,75,0.352,189,102,640,112,0.325
501659,7,0.29,0.548,0.969,0,0,1,4,18,5,0.421,9,11,31,8,0.364
622666,15,0.233,0.384,0.663,0,1,7,32,94,20,0.279,54,31,232,43,0.258
518595,32,0.11666666666666665,0.18200000000000002,0.34299999999999997,1,0,16,69,150,32,0.161,88,52,351,85,0.13533333333333333
641513,14,0.225,0.343,0.63,0,3,3,10,73,12,0.286,38,24,169,63,0.337
518692,87,0.295,0.549,0.938,3,6,38,121,210,74,0.389,176,113,597,127,0.318
542255,26,0.246,0.397,0.74,1,7,5,24,86,18,0.343,49,30,199,41,0.286
656577,1,0.0,0.0,0.133,0,0,0,0,14,0,0.133,0,0,13,5,0.0
608686,1,0.156,0.328,0.497,0,0,2,5,27,7,0.169,10,8,64,16,0.174
542303,62,0.241,0.472,0.8,2,12,29,89,253,53,0.328,117,80,485,114,0.257
663586,16,0.226,0.471,0.75,2,0,18,49,128,30,0.279,62,41,274,108,0.293
621020,51,0.251,0.422,0.748,5,10,17,65,230,46,0.325,121,77,483,124,0.3
448801,39,0.179,0.326,0.601,0,0,12,36,125,21,0.276,55,26,307,139,0.27
520471,28,0.2505,0.4275,0.7195,2,4,23,70,213,52,0.2915,145,67,557,145,0.302
669720,7,0.309,0.574,0.947,0,2,4,13,18,10,0.373,21,12,68,13,0.333
641820,63,0.291,0.535,0.899,0,1,35,97,235,75,0.364,175,106,602,143,0.326
621006,14,0.208,0.322,0.581,1,10,6,23,136,17,0.26,59,29,283,83,0.272
656775,4,0.094,0.156,0.337,0,1,0,4,32,2,0.181,6,7,64,14,0.118
